Jump to:,,,,,,,,ア,,,,,イ,,,,,ウ,,,,,エ,,,,,オ,,,,,カ,,,,,キ,,,,,ク,,,,,ケ,,,,,コ,,,,,サ,,,,,ツ,,,,,ス,,,,,セ,,,,,ソ,,,,,タ,,,,,チ,,,,,ツ,,,,,テ,,,,,ト,,,,,ナ,,,,,二,,,,,ヌ,,,,,ネ,,,,,ノ,,,,,ハ,,,,,ヒ,,,,,フ,,,,,へ,,,,,ホ,,,,,マ,,,,,ミ,,,,,ム,,,,,メ,,,,,モ,,,,,ヤ,,,,,ユ,,,,,ヨ,,,,,ラ,,,,,リ,,,,,ル,,,,,レ,,,,,ロ,,,,,ワ,,,,,ン,
,,,,,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation,,Japanese,Romaji*,English,Explanation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *kapwing*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずよーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱこぱかぱーん,,,,,,,,,,"プチン,",puchin,*snap*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カチンッ,",kachin,*clink* *ching* ,SFX for a metallic or machinery sound. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピカピカ,",pika pika,(1) *shining* *polished*;,,,ぷちん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かちんっ,,*ka-ching*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズザッ,",zuza,(1) *squeal* *skree* *screech*;,(1) SFX for the squealing of tires;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パク,",paku,(1) *munch* *chomp*;,(1) When you close your mouth after taking in food. See also *gapu*;,,ぴかぴか,,(2) *bright* *flashing* *sparkling*,,,"プハ,",puha,*gasp* *haahh*,SFX for catching one's breath after holding it for a long time. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずざっ,,(2) *skid*,"(2) SFX for something struggling for traction, such as when jamming on the brakes of a car ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱく,,(2) *open close* *gape*,"(2) To open and close your mouth, as if in surprise or shock; See also *hau* and *gatsu*. ",,"ピカー,",pika-,*sparkle* *shine* *shiny*,,,ぷは,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カヒー,",kahi-,*tee hee* *guh heh* *heh heh* *he he*,"The laugh of a drunken, semi-conscious character in a stupor. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぴかー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かひー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピキッ,",piki,*vein pop* *anger*,,,"プハー,",puha-,*phew* *sigh* *relief*,"A gasp of relief, satisfaction. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズザザ,",zuzaza,(1) *fwwshhh*,"(1) Large movement, like a typhoon or huge storm.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パクパク,",paku paku,(1) *munch munch*; ,"(1) To eat food, usually quickly;",,ぴきっ,,,,,ぷはー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カヒーグヘー,",kahi- guhe-,*tee hee* *guh heh* *heh heh* *he he*,"The laugh of a drunken, semi-conscious character in a stupor. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずざざ,,*vssshhh*,See also *zazaza* (ザザザ);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱくぱく,,(2) *open close* *gape*,"eat in big mouthfuls, take quick bites; ",,"ピッカー,",pikka-,*shiny* *shine* *glowing* *glow*,"Something glittering and splendid, to create a ""ta-da!"" effect. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かひーぐへー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*rrruummmbleee*;,(2) A powerful fall. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(2) To open and close your mouth, as if in surprise or shock; See also *hau* and *gatsu*. ",,ぴっかー,,,,,"プイッ,",pui,(1) *snob* *snub* ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(2) *sliiide* *fall* *tumble*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぷいっ,,*turn away*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カジ,",kaji,*bite* *gnaw*,"Sink your little fangs into. See also *agi*, *agu*, and *kari*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピコピコ,",piko piko,*ping ping* *pow pow*,"SFX for computer sounds; games, sound of someone controlling joystick. ",,,,(2) *suddenly leaves*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズゾ,",zuzo,(1) *slurp*;,"(1) SFX for a sucking or slurping motion, like when slurping noodles very fast;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パンッ,",pan,(1) *grab*;,(1) Like when stopping a punch by grabbing the assaulter's wrist. ,,ぴこぴこ,,,,,,,*disappears*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずぞ,,(2) *slip*,(2) SFX for something slippery that's sliding very fast ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱんっ,,(2) *slap*,,,,,,,,"プイ,",pui,*snub* *turn* *turn away* *ignore*,"To avoid someone or something in a rude manner, and/or out of spite. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カジカジ,",kaji kaji,*bite*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピコーン,",piko-n,*realise*,SFX for discovery. ,,ぷい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かじかじ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パン,",pan,(1) *pop*;,(5) Like snapping one's fingers;,,ぴこーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カジカク,",kaji kaku,*bite* *gnaw*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズゾー,",zuzo-,*slip* *slide* *slip-n-slide*,SFX for when one is falling or tripping. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱん,,(2) *sudden impact*,"(6) SFX for a good, full sucker-punch ",,,,,,,"プク,",puku,*swell*,"Something swelling, starting to swell. See also *buku*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かじかく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずぞー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*crack*,,,"ピクッ,",piku,(1) *twitch* ,"(1) SFX for being caught by surprise and going on a sudden defensive, like flinching;",,ぷく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カカカ,",kakaka,*bwahahaha!*,Evil laughter.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*bam*;,,,ぴくっ,,*flinch* ,"(2) Slight clicking noise, specifically a gun clicking when it's out of bullets. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かかか,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズズー,",zuzu-,*siiip*,SFX for drinking something enthusiastically. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *slap*;,,,,,*surprise*;,,,"プクプク,",puku puku,*swelling* *swollen*,See also *buku*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,See also *kakaka* (カッカッカッ). ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずずー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *shatter*;,,,,,(2) *click*,,,ぷくぷく,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) *snap*;,,,"ピク,",piku,*surprise* *twitch*,"SFX for being caught by surprise, in preparation to go on the defensive. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ズズイ,",zuzui,*shove* *overflow* *crowd* *thrust*,To present something in excess. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) *bam* *punch*,,,ぴく,,,,,"プクー,",puku-,*blow up*,"The process of putting air into a balloon, to put air into your cheeks (like *Pu~*). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カキカキ,",kaki kaki,*scribble scribble*,"SFX for writing. Literally comes from the verb ""to write"" or 「書く」. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ずずい,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パンパン,",pan pan,(1) *full*; ,(1) Full stomach; ,,,,,,,ぷくー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かきかき,,*write write*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱんぱん,,(2) *smack*,(2) Light smack; ,,"ピクリ,",pikuri,(1) *twitch* *flinch*;,(2) Noticing something. May be from *piku* = *twitch* = pricking up the ears. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*scritch scratch*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *pat* *smack*;,(3) Could be as of dusting hands or oneself off;,,ぴくり,,(2) *blink*,,,"プンプン,",pun pun,*cranky* ,SFX mostly for girls when they are pissed off. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カキーン,",kaki-n,*strike* *pow*,SFX for hitting a ball with a baseball bat. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *snap snap*,(4) Like snapping one's fingers. ,,,,,,,ぷんぷん,,*pissed off*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かきーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ピン,",pin,(1) *flash*,"(1) To come towards you (or the 1st person character) in a flash, or very suddenly;",,,,*hmph*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぴん,,*suddenly*,"(2) SFX for suddenly recalling something, like a flashback or revelation. ",,"プンタタ,",puntata,*music*,Slow beat; *tata* is for quick beats; see also *bunchacha*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カッカッ,",kakka,(1) *trotting* *trot* *tromp*;,(1) To walk/march excitedly or enthusiastically towards something or someone;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パンッパンッ,",panppan,(1) *clap clap*;,(1) SFX for clapping one's hands together;,,,,*poof*,,,ぷんたた,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かっかっ,,(2) *scritch* *scratch* *stroke*;,(2) Like the sound of a pen on paper;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱんっぱんっ,,(2) *bang bang*,(2) SFX for a mechanical banging sound ,,,,*appear*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *clak clak* *clack clack*;,"(3) The sound of light stomping, or just the clicking of shoes against a hard floor ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(2) *flash* *suddenly*,,,"プラプラ,",pura pura,(1) *dangle dangle*;,(1) Like *Bura-n*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *step step*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*revelation* *realizes* *shock*,,,ぷらぷら,,(2) *limp* *floppy*,(2) See also *hero* and *mero*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パオーン,",pao-n,*cry*,SFX for elephant crying. ,,"ピンピン,",pin pin,*suddenly peppy*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カッカ,",kakka,(1) *excited* *passionate*;,"(1) Extremely excited, having a fit of passion;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱおーん,,,,,ぴんぴん,,*suddenly happy*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かっか,,(2) *fuming* *angry*;,(3) Flustered from either shyness or anger;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*sudden change*,,,"プラン,",puran,*limp* *floppy*,See also *hero* and *mero*. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(3) *flustered*;,(4) A burning sensation;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パパパ,",papapa,*bam bam bam* *pow pow pow*,Sound of shooting bullets from a gun. ,,"ピンポーン,",pinpo-n,*ding dong* *ding do-ng*,"Sound of door bell, or ""correct answer"" on a quiz show. ",,ぷらん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *burning*;,(5) Spicy flavor; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱぱぱ,,,,,ぴんぽーん,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(5) *spicy* *hot*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"プリプリ,",puri puri,(1) *cranky* *fume*; ,(1) SFX for anger; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6) *red-hot* *brightly*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"パパラパラパラ,",papara para para,*racket* *crazy music*,SFX for wild and crazy music sounds. ,,"ピンポン,",pinpon,*ding dong*,"Bell, see also *kin kon*. ",,ぷりぷり,,(2) *soft n juicy* *soft*;,"(2) SFX to express freshness (prawns, young girls etc) like *pichi pichi*. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"カッカッカッ,",kakkakka,(1) *clack clack clack*;,(1) Often used for high-heels SFX and when you write with chalk on a blackboard;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ぱぱらぱらぱら,,,,,ぴんぽん,,,,,,,(3) *strong smell*;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かっかっかっ,,(2) *bwahahaha*,"(2) Evil laughter, like the cliche villain's laugh. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(4) *fret* *worry*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
